departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,rechazo_proyecto,deficit_derechos,denuncia_violacion,deficit_participacion_efectiva,ruptura_dialogo,reivindicacion_territorial,exclusion_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
Amazonas,0.14380028973774692,0.3009919756307052,0.29837894758684674,0.11087352225155407,0.14595526564198918,0.45496974095595183,0.43059713401344346,0.3986567215798875,0.28322864398234177,0.7160493432551713,0.8265002706895963,0.839146202886364,0.7580123362696998,0.6989726385366556,0.7178156831006468,0.49927200828638846,0.6456795466092518,0.6380297095387107,0.6212535327455257,0.5051774475225087,0.5222741992994983,0.7430121449278555,0.24454025548318617,0.8254944789680551,0.6169913833416991,0.33513769315098985,0.3269321922989805,0.9068507297145512,0.6262162749705976,0.6160394109800639,0.4534412955465587,0.5101214574898786,0.3805668016194332,0.032388663967611336,0.3481781376518219,0.29959514170040485
Arauca,0.16956469230353832,0.3090180273389848,0.36280919403646444,0.05589269412440344,0.10271539473723872,0.36177666835000927,0.29950146238361836,0.4438822416980582,0.4067466015044229,0.7882655071512236,0.8872029671836578,0.8591936695657909,0.6675573410549172,0.7410556869401126,0.8771797255215192,0.596147020877189,0.6839553865948377,0.7249503914208617,0.6275040232037854,0.5342844906909345,0.5143475123122666,0.6436839490910177,0.2682099117309367,0.8541514106323524,0.41360596795044374,0.4145431560869171,0.22444637403760256,0.9108552540059192,0.686379381084692,0.652153658219928,0.12099644128113879,0.9786476868327402,0.28113879003558717,0.02491103202846975,0.4875444839857651,0.2313167259786477
Atlántico,0.1769230804131057,0.30854000984739155,0.32472834784388743,0.09584907790354605,0.09395948491027684,0.41216445788349493,0.48950630897089475,0.3844783837375414,0.3218756375023057,0.7621094875791757,0.8625657822677817,0.8486208883994589,0.6810534864941753,0.7358320746995235,0.7633451319578816,0.49382086773055517,0.6888995295330085,0.6301956447446687,0.5639820957129058,0.5061889770622591,0.5125321184920463,0.6688239066283804,0.21769175041128155,0.8103116057842742,0.5414247083438174,0.396057229295302,0.21002843622020004,0.9110729849980509,0.6761604303125621,0.6846868701344373,0.05834829443447038,0.21543985637342908,0.21364452423698385,0.01615798922800718,0.33662477558348297,0.296229802513465
Bolívar,0.18684627303299023,0.3285204867731208,0.28655382886891734,0.07832844905016337,0.11975095715515023,0.3945056919588608,0.42772396490680253,0.3982568416821427,0.35441278205676113,0.7008275891833394,0.8259784162455684,0.8136619199747533,0.6544078793394125,0.6821444432891222,0.7343801288897771,0.4436098507632526,0.6610766885294631,0.6048742504156027,0.5569137677934879,0.4723506253062266,0.4846579279024189,0.6490431164900602,0.2635849661252977,0.8424171492272521,0.5237096959519224,0.37558607285413265,0.20211538653883976,0.8938111037021147,0.656493650618522,0.6854247162781293,0.056179775280898875,0.19850187265917604,0.19850187265917604,0.0599250936329588,0.41947565543071164,0.2546816479400749
Boyacá,0.17035279912310408,0.30936931219246044,0.33014039963875946,0.0801175461659257,0.11001993695130008,0.2453889780056718,0.282597162042772,0.33413137677393695,0.22469532632691736,0.7078062441846429,0.848966798399526,0.8407156216715904,0.6542418090038393,0.627416095591769,0.7255595183888401,0.5348918924151037,0.6635576598793513,0.6055805450211904,0.5697560401997945,0.4557617596521404,0.43347179547647674,0.633279051912005,0.237749557314122,0.7757644511241539,0.43013080735108816,0.34804823029224186,0.22817262299565635,0.8469102783493183,0.5004086274399397,0.5793485554425339,0.06578947368421052,0.10526315789473684,0.23157894736842105,0.031578947368421054,0.5605263157894737,0.26842105263157895
Caldas,0.19640300763789023,0.33290336905861073,0.27023679421292346,0.10759449291342875,0.09286233686848053,0.16716853773404475,0.2599146010855802,0.26497336553935635,0.14233827855758985,0.6654414780336978,0.8262393761649999,0.8457009175198581,0.49733112904531007,0.5405300667672945,0.6836606285828286,0.4569818181383972,0.643783546124738,0.5314664057419978,0.4710772697245672,0.39492465015523387,0.31675435157348086,0.6613653581958674,0.19046928966455584,0.7942205539292884,0.23772553933423063,0.20681111773620675,0.2424684118935921,0.8405256946375262,0.4274810460546057,0.49519121215202544,0.12944983818770225,0.12297734627831715,0.16828478964401294,0.003236245954692557,0.4401294498381877,0.2459546925566343
Caquetá,0.16148620826523688,0.27638062971281047,0.3828241870880632,0.0652853754665742,0.114023598888445,0.6956108537131637,0.5317972790150434,0.6142565165182686,0.6192061250333347,0.8095156970232631,0.8765495247838987,0.8384214799724898,0.775623277115825,0.8321336497211339,0.8670502367539931,0.5943786130048496,0.7036714054983488,0.7846218545465351,0.6750210168069994,0.6039567603813524,0.6334325426299583,0.7929341229062599,0.29548825125539996,0.9222655154693619,0.5822048126441186,0.5087891129431042,0.28604912206109306,0.9603646475884874,0.8666271531492693,0.8567365310766529,0.3516949152542373,0.6313559322033898,0.3389830508474576,0.012711864406779662,0.3305084745762712,0.2542372881355932
Cauca,0.22639888624020582,0.31943107070050897,0.30681418389997706,0.0539202549279493,0.09343560589631213,0.41390391970877277,0.3136299116609053,0.463566424395678,0.4355028866520416,0.7097455688992073,0.8731410511914192,0.8513576012193521,0.6127799562654337,0.7669937666889084,0.8428014219936333,0.6412699506830277,0.7660358488247465,0.7436594198336031,0.6502428848345462,0.5038459855143486,0.5197741495576581,0.7590587424146662,0.2704817295069061,0.8479181146500305,0.4719337204702504,0.40897371604745464,0.26493557800141115,0.8875107164701048,0.6741571885200348,0.6181060555278103,0.1939799331103679,0.9448160535117057,0.17391304347826086,0.013377926421404682,0.22408026755852842,0.13043478260869565
Cesar,0.20176421871078407,0.3069728756850322,0.33440602460220414,0.06143814451423382,0.09541873524371755,0.465503381705476,0.4195010070547516,0.48450054269471154,0.47374127077681377,0.7959483119036176,0.8562301603449347,0.8375804428869742,0.7000059345366347,0.7676217552333154,0.8211380067673417,0.5701405954670437,0.7086765161425052,0.7390831972030784,0.6143054087588901,0.5850363426901394,0.5880990369120863,0.7147488814993374,0.250160285997491,0.8280245676724007,0.5366529465356293,0.4340623353649094,0.2180670540812825,0.9090361762837882,0.7517359889596478,0.7331534592348736,0.09650735294117647,0.27205882352941174,0.25827205882352944,0.029411764705882353,0.36764705882352944,0.19944852941176472
Cundinamarca,0.1454840891056509,0.302546878498601,0.35085695584582566,0.10821611106871744,0.09289596369642404,0.4268216664419986,0.44075591257878177,0.3532370716316323,0.27674256998153296,0.7265817737804131,0.8374478615980707,0.8113489230102445,0.7051925774065153,0.6940405688841927,0.7417069366504987,0.46445749945562526,0.7002684472562868,0.5856434854685514,0.5436365906935714,0.48883906860484777,0.49254070501043146,0.6312042839955587,0.16918659596322244,0.7807993923227976,0.5055921074382093,0.3913687920974277,0.22760089167396183,0.8867680864080699,0.6022157230355328,0.6040484553958163,0.049738219895287955,0.23298429319371727,0.20157068062827224,0.031413612565445025,0.4607329842931937,0.34293193717277487
Córdoba,0.23390300398200817,0.302851321793856,0.28964022936315764,0.07105490413438878,0.10255054312587031,0.3065634021846047,0.27675292405790686,0.3572930652988627,0.3267083986701091,0.6708980611411866,0.8416669896153439,0.8102475599604029,0.5774892740898713,0.6623501752575641,0.7721237340732401,0.48692843876020403,0.6852353458976356,0.6344313674147448,0.535806907838327,0.4558265402212179,0.4378553560401433,0.6582709925876498,0.28270517903756437,0.8211053551086974,0.4457619019509507,0.3426604722698231,0.2594175010991677,0.8766284067877252,0.6555079653099857,0.6670707301271276,0.08762322015334063,0.17634173055859803,0.15005476451259583,0.017524644030668127,0.43921139101861995,0.1511500547645126
Guaviare,0.1613161729227967,0.32822538274445145,0.31676912546109925,0.06584660782309555,0.12784271277270168,0.2850501414181042,0.25689375575933565,0.38340376377992114,0.21460945314663715,0.7808431091963933,0.9182342489061344,0.8872867466528508,0.6027425879985393,0.7111428207974249,0.7969004180764486,0.5031491357416148,0.6759762318409572,0.6711865667825703,0.5183998201329896,0.4594215279492966,0.3810232300367476,0.7500341862508986,0.2970692017375809,0.7983744720332444,0.42936386848022035,0.34690839795545836,0.22928198093446975,0.8903790438499817,0.6917552151148271,0.6321775472851716,0.33762057877813506,0.19935691318327975,0.17363344051446947,0.02572347266881029,0.3536977491961415,0.08038585209003216
Magdalena,0.1759436884648362,0.298226798130537,0.34030769999155597,0.08707261095772502,0.09844920147649805,0.4166686312271632,0.3975354948249701,0.42294390153879236,0.37665015118113554,0.7509458518897012,0.8634369076097276,0.8486176353547726,0.6704031726468797,0.7382808554384633,0.8024230498549815,0.559073201715216,0.7317251419563106,0.6762819188696052,0.6131043572850682,0.5394247792537776,0.5176782584801557,0.7198339889943918,0.24755193724386743,0.8372912310095239,0.5359495333853561,0.41390275447018066,0.2522464199768869,0.9084147387658158,0.6896366458327216,0.6766268907528704,0.11450381679389313,0.22709923664122136,0.1743002544529262,0.04961832061068702,0.3326972010178117,0.18893129770992367
Meta,0.17969283141988843,0.3089468573473795,0.31784842887644155,0.08428684375174784,0.10922503711801587,0.33912689946549834,0.30312193897886797,0.32404520834083395,0.26568245119154094,0.6508621867684584,0.8235776657373439,0.8208100810053729,0.6098154519661017,0.6264150202940719,0.73052241252853,0.43820281461578964,0.6347199269330362,0.5974321848143177,0.5443489807965316,0.4346702116923095,0.4211323556461186,0.6671422002149585,0.23638216365090964,0.7913779173705151,0.42236081693685334,0.28585065636318274,0.2712639482360917,0.9044730524581114,0.6172433806110218,0.5802382643381903,0.16476345840130505,0.21044045676998369,0.19575856443719414,0.021207177814029365,0.45187601957585644,0.2642740619902121
Nariño,0.1906399213458731,0.3118311082985975,0.31383476680867484,0.06070571278413903,0.12298848890949653,0.4834182137567611,0.455843211246008,0.5266365542235948,0.40543966422942573,0.7357601900019426,0.8696488780790502,0.8482655137823374,0.7205198293739458,0.777251268800938,0.8187828739925632,0.5456383558113125,0.6571099334120153,0.6927778753809067,0.6480126553945506,0.5471686192491498,0.539194064881173,0.7062676936626059,0.2506538104753526,0.8204570678438915,0.48888555259092836,0.39007524222834034,0.291618622793558,0.917362982666801,0.7897146188175312,0.7741807772617686,0.14029850746268657,0.4388059701492537,0.2791044776119403,0.04328358208955224,0.3940298507462687,0.16865671641791044
Quindío,0.20301593729718165,0.3407181481288915,0.30492075025357984,0.05192083374533633,0.09942433098796755,0.2480045465994309,0.2598369247490667,0.3392596144549845,0.24737205932086165,0.6906359415535223,0.8784349251487715,0.8312399088828402,0.6355424287436868,0.6861676507371224,0.7626035009409217,0.5491627893789502,0.7261523238704963,0.656358195699074,0.5411477111000568,0.4642486605043946,0.3950143220732835,0.7034257678217678,0.2303145931261613,0.8107223635818809,0.4028134497882671,0.3122759492584208,0.2046346912240948,0.8850763945891098,0.5779295031002468,0.5502570780084087,0.06545454545454546,0.11636363636363636,0.2,0.014545454545454545,0.56,0.2581818181818182
Risaralda,0.15867642709670007,0.2816605154220409,0.3729442386215346,0.08962504770805402,0.09709377228079127,0.48854902588421106,0.44972875282333463,0.3969026356202516,0.3762433245367435,0.7374114088126502,0.8223247627454203,0.8072049380569576,0.7453393113063944,0.7315162135958432,0.7786503193404762,0.48361373392858287,0.712493699784058,0.6173154676784872,0.5531473963616278,0.5248054585443618,0.5228752408930588,0.688380303088004,0.1971799292629825,0.7977428261563921,0.6046032861054372,0.48600336542454975,0.24676298798040658,0.9035470291242871,0.714531010540052,0.706646136571493,0.12962962962962962,0.29894179894179895,0.15608465608465608,0.021164021164021163,0.455026455026455,0.2698412698412698
