departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
Caquetá,236.0,100.0,100.0,0.0,100.0,0.0,100.0,62.18054198998259,100.0,alto
Vaupés,37.0,54.90301703620369,48.516773411743905,70.91199544054452,65.1089057476594,66.77792702293556,47.994365673834416,100.0,74.79988553833485,alto
Risaralda,378.0,78.08271626311803,55.62356018511614,30.43061875954041,42.3764847157138,58.68621411439967,63.27938925096398,63.44095860369639,66.25238328666097,alto
Sucre,41.0,29.415780525134473,48.43329528506306,45.247418108773594,25.23324562985917,100.0,44.04234361194729,92.10849627821615,66.13448042647369,alto
Vichada,62.0,77.01852362881941,36.01319165775503,35.18199359764346,62.96169596843757,48.2931337930008,50.376721197418696,75.52936106633612,61.69656025783243,alto
Cauca,598.0,68.33199377639478,57.96967316548661,30.755578932715295,50.0277285086737,42.18312609373038,62.060461164784755,52.94220654859147,58.52276834638622,alto
Amazonas,247.0,60.231336586590125,42.66257044377593,59.08138047665146,64.89793079525977,37.614522189931776,47.191397760638125,65.1604431566867,52.198843148532916,medio
Nariño,670.0,67.97844483991938,72.4649643563667,55.587998531390326,53.354594014846825,22.096598351279408,68.020174922582,33.06436710410789,51.66403409838469,medio
Cesar,1088.0,75.11623443798342,65.9165694468407,34.27422960607121,48.41169541472621,21.340056038981942,68.37138705373545,26.30453091032497,47.75568125425284,medio
Córdoba,913.0,33.69751790176511,43.634336630321215,62.85143957652172,23.21084527568336,75.20067714608281,40.210680487228075,60.29652417290832,42.58318490133463,medio
Magdalena,1572.0,66.5937486291074,50.37420030640563,30.393073535647996,46.14075100472033,29.512048888506854,56.96016248843454,33.30348421744907,41.41136154715665,medio
Meta,613.0,24.491581520042036,30.896820507389133,70.3912097594863,29.85989791390856,79.50285520018426,29.023714210771594,73.28525881162716,40.20562731433742,medio
Bolívar,267.0,44.226188609670224,48.495707725242184,81.81148821315094,29.12962853162458,57.81531133864088,43.84923766277361,46.69655516862431,37.47774005508587,medio
Santander,205.0,70.49729254366494,62.75423633030949,71.91537780347892,29.95081449721195,30.11589106689562,60.83856521846806,14.817557933673125,33.467814283199445,medio
Atlántico,1114.0,57.86294146502722,46.2621411543453,50.63163492016027,34.14165279741896,37.519761657099046,49.743843998624406,28.56949150368354,31.65557514377814,medio
Cundinamarca,382.0,57.03713646595984,31.575881658698705,52.00896639447673,24.175142274057475,58.86937196867621,40.32489086990261,42.0704455671193,31.26212270020849,medio
Arauca,281.0,71.6070932234784,61.150757163452326,40.161356352108534,37.15455304481561,13.926365430084275,63.81452685089464,4.159942611632288,29.58413241322489,medio
Valle del Cauca,117.0,44.272981780014824,60.71488166712449,94.51798240302449,25.623920902695644,40.568489283142696,49.91519353557777,22.082965269360475,27.749427015724248,bajo
San Andrés y Providencia,81.0,40.32854522111143,14.942160683710249,43.093881791040175,9.423777388530807,82.27975860002644,26.618951619770133,52.34050003380165,24.810597386243796,bajo
Quindío,275.0,46.43547903060886,22.323082498391344,77.19656149385291,17.059645640784492,57.12706722605382,28.87030725796019,31.564628021462227,13.900826199414054,bajo
Boyacá,380.0,52.39352690396045,18.329470757395434,69.25372786712306,5.051521375170239,56.07669545523336,28.933270647872337,16.076566034341695,4.248409596439089,bajo
Guaviare,311.0,39.21135906643646,38.82242079360564,60.553109471158294,31.698559038842262,15.874974577256735,38.99918914420272,0.0,3.6353597367882227,bajo
Caldas,309.0,0.0,0.0,100.0,0.0,92.00759797190592,0.0,52.701133512028505,0.0,bajo
