departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,nivel_acuerdo_proyecto,demanda_derechos,denuncia_violacion,propuesta_alternativa,llamado_dialogo,defensa_territorio,exigencia_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
Amazonas,0.13715824328386034,0.28627764418228596,0.31378958231099874,0.11381332447039433,0.14896120532985377,0.5213738839077804,0.4634456142647507,0.44329821828739285,0.33334581330395735,0.7277290753294783,0.8460158984304775,0.8645697596506023,0.7720205754692058,0.9441895638622607,0.5571020540846502,0.7536910909958269,0.6839276244113421,0.7469149373672818,0.9118748929472794,0.4365593970917773,0.5691982272516672,0.7691411314664932,0.2582296474585656,0.8328790009336369,0.6323380253988719,0.37652094781647477,0.3453323112686226,0.9266216509517529,0.663298874939282,0.6543690984633805,0.5206611570247934,0.5082644628099173,0.4214876033057851,0.0371900826446281,0.35537190082644626,0.32231404958677684
Antioquia,0.15929327243213215,0.32303933938163965,0.3287823031004141,0.07645414080136165,0.11243094372334947,0.48986207354466926,0.46080455712891943,0.4675608410325072,0.39405403765038516,0.7564643469324754,0.8599020342222605,0.8400855983375582,0.7928060689195896,0.9322499706523459,0.6053041053335781,0.7608119905909202,0.7081364003165747,0.7373019623482833,0.901479995259704,0.4580355876657748,0.5767864806740226,0.7039320211906928,0.30192083694516336,0.8725644609288064,0.6000391921303155,0.453081117589412,0.25225071105235286,0.9257526041918999,0.7146318746986493,0.7436813888465408,0.13562753036437247,0.4898785425101215,0.32186234817813764,0.04048582995951417,0.6032388663967612,0.4008097165991903
Arauca,0.16975135496551438,0.3098265958118385,0.361387334221841,0.05601425503118662,0.10302046276213202,0.3595680140993084,0.29820059284996075,0.4452489888682196,0.4037233330417491,0.7881863233766385,0.8865827167406678,0.8592734880146704,0.6663770149046156,0.9567853211924168,0.6774702006601728,0.8444159228188385,0.6649207974659346,0.7939035573974251,0.8845146895785417,0.3961694516877677,0.5125555501959752,0.6444574123614335,0.2681121164039983,0.8531771777347396,0.41395233776046164,0.41281202625988433,0.22406172755327133,0.9102778496220708,0.6852670070885714,0.6509175736457109,0.12142857142857143,0.9785714285714285,0.28214285714285714,0.025,0.4857142857142857,0.23214285714285715
Atlántico,0.17758764391019263,0.30962301357075134,0.3231729112164684,0.09546058560228797,0.09415584684713355,0.41466245631209553,0.49186345049698293,0.38590405481488055,0.3224122028223693,0.7651071299275924,0.8642023754946156,0.8504967670585283,0.6828589645155179,0.932496597689557,0.5662320773199868,0.7585581759403687,0.663236389439428,0.734057808379741,0.9017103524099835,0.3622264582834319,0.5140258465104718,0.67171687893628,0.21955410749156806,0.8116849868814588,0.5448229637540821,0.3978638085443045,0.21053390933201352,0.9119141667153774,0.6779236238564427,0.6877014593088201,0.05823475887170155,0.21383075523202913,0.21383075523202913,0.01637852593266606,0.3303002729754322,0.2966333030027298
Bolívar,0.16904468312219695,0.3151077974502367,0.3804243608584045,0.044166703120172596,0.09125645689351683,0.4547465200054296,0.46307396396833744,0.47922440562601637,0.4269015277100048,0.7727180754735653,0.875512410124332,0.8359455188015611,0.7761478750195127,0.9423923785873788,0.6859486910686935,0.8185290589407425,0.6886377614942372,0.7892290895735002,0.9215317936614156,0.5238844062799751,0.5929714897429776,0.6736614642434181,0.2599476947962797,0.8961208088635396,0.6285871587891864,0.5590742817957253,0.1648143409012207,0.9343641717342361,0.7938455433743821,0.8425951263536735,0.10687022900763359,0.3435114503816794,0.3015267175572519,0.0648854961832061,0.5229007633587787,0.3893129770992366
Boyacá,0.14689638996068602,0.32624234292313625,0.35213635832970513,0.06928849077901278,0.10543640623746932,0.4412653233384949,0.6019042871207342,0.39321418727437657,0.42052505365519344,0.7551359660902072,0.8540283647719128,0.8408486199104923,0.6988315405698772,0.9367035782371445,0.5809038456251052,0.7785374602870266,0.6110475432307021,0.7616353089996111,0.9150437055819336,0.43092867329277784,0.4870644714201576,0.7007801176273617,0.16216365076553332,0.8446620284544903,0.5137498107867251,0.4193077773744262,0.21939005491848307,0.9243229175436085,0.736589915012063,0.7643665477697705,0.08045977011494253,0.4482758620689655,0.21839080459770116,0.04597701149425287,0.27586206896551724,0.2988505747126437
Caldas,0.15425712856566692,0.3272210487196127,0.3568379696166553,0.07177480878404606,0.0899090395097905,0.37314257581762167,0.4755984684576969,0.3105723241745382,0.3301229766947148,0.6874883992353777,0.7985146282742913,0.7686489222934312,0.6376645970237205,0.9061813831203065,0.4859900154889624,0.6919913144554781,0.6192278459143304,0.7067871792281394,0.8674692603072814,0.4026092493539613,0.5109431268137996,0.5700699950970899,0.1218092226998247,0.8164646042455619,0.5695368255531984,0.42466778914203424,0.19455992897676,0.869052579277195,0.6493956516822406,0.6891059198133623,0.08898305084745763,0.2457627118644068,0.2033898305084746,0.03389830508474576,0.3728813559322034,0.3559322033898305
Caquetá,0.1563220368911113,0.2892305632893528,0.34632242762616705,0.07997460388428798,0.1281503658420739,0.6638867390445999,0.5332540295988188,0.5882204327040484,0.534736138492174,0.7916198473312294,0.8705558992210509,0.8506919318168158,0.7739591386940863,0.9338311113335658,0.6993160928436555,0.8431002394490809,0.667357301004231,0.7959190266035564,0.929541833630896,0.45317632115495926,0.622347297701386,0.793438499918141,0.3242782210371557,0.8780739622130724,0.5880909214285203,0.47042127869208344,0.347588449132662,0.9436240880816643,0.835660168964948,0.8173435128473544,0.37142857142857144,0.6114285714285714,0.30857142857142855,0.02,0.3485714285714286,0.2542857142857143
Casanare,0.16561373148217612,0.3022746287954404,0.3556364901271296,0.0789933378926785,0.09748181279297478,0.5135921621373392,0.5114990772458187,0.47667686307769536,0.39103911298627947,0.7312362277063235,0.8564561823330912,0.8239084669845815,0.718032262410957,0.9334272294282127,0.5965018822888913,0.7884932978072215,0.6940925821296072,0.7380431666474946,0.8890738875709289,0.3867227946225878,0.5116700577124468,0.7329662521163679,0.22224650849365507,0.8384757033601311,0.5219015118388332,0.48437316007102316,0.2148803143767204,0.9059214653745178,0.7369102034631029,0.7378681512717273,0.06832298136645963,0.484472049689441,0.16770186335403728,0.024844720496894408,0.35403726708074534,0.30434782608695654
Cauca,0.1793466029108938,0.304415876216187,0.3353643781796496,0.05956590775214893,0.12130723478502142,0.5800760327320171,0.4746967648574393,0.5901806261090958,0.5466544932474562,0.825073459851972,0.8882653972298409,0.851326954521295,0.7562014055949431,0.9454322742383697,0.7224083683102226,0.8575767455573878,0.6988696858720068,0.8059156825623998,0.9384457983366461,0.5016189466788175,0.6458035987727755,0.7728359987879492,0.33571327335272394,0.8781062208218678,0.6090625326303846,0.5062140965670724,0.2516045291218619,0.9386619984288024,0.8348806042615735,0.8397471455041304,0.21370499419279906,1.0,0.31939605110336816,0.0743321718931475,0.462253193960511,0.23228803716608595
Cesar,0.2076654701397337,0.32069032587881746,0.3253969167327059,0.05022463420855588,0.09602265120965653,0.40445596337768025,0.3078077406911501,0.4437323584510335,0.47277375173971764,0.7614508323885244,0.7322762196177038,0.7397866927344223,0.6500344211556788,0.8646866645431146,0.604884426386481,0.8357595832604947,0.5886702352476403,0.7579522748831017,0.8386546058644508,0.45786855615482763,0.5830018352396016,0.5975945634157236,0.31398031134399235,0.7462893377684442,0.4711452387915603,0.4083016789357724,0.12869085435723437,0.8474115238621317,0.7952729437885613,0.8329846146034783,0.20689655172413793,0.5517241379310345,0.5172413793103449,0.13793103448275862,0.6551724137931034,0.2413793103448276
