departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,nivel_acuerdo_proyecto,demanda_derechos,denuncia_violacion,propuesta_alternativa,llamado_dialogo,defensa_territorio,exigencia_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
Amazonas,0.1307,0.2722,0.0946,0.3606,0.1418,0.3586,0.2572,0.2074,0.1721,0.5792,0.7149,0.7971,0.2425,0.9444,0.5547,0.4815,0.4745,0.8088,0.7342,0.3635,0.5005,0.7912,0.5125,0.3123,0.7722,0.3036,0.3565,0.5893,0.5344,0.2903,0.4748,0.259,0.5755,0.036,0.8633,0.2446
Antioquia,0.1479,0.3396,0.1265,0.2597,0.1263,0.3247,0.2911,0.2865,0.2225,0.6057,0.7905,0.7684,0.2204,0.9315,0.6442,0.5009,0.5357,0.8461,0.7046,0.4771,0.4848,0.7453,0.5547,0.4298,0.7771,0.333,0.3187,0.5805,0.5546,0.309,0.2176,0.2842,0.455,0.0612,0.9209,0.4173
Arauca,0.1633,0.3229,0.1063,0.3011,0.1064,0.1544,0.1232,0.1611,0.1573,0.5645,0.8146,0.7579,0.22,0.9664,0.6313,0.525,0.4688,0.7928,0.6296,0.2685,0.469,0.7165,0.5258,0.3211,0.6294,0.2931,0.3076,0.5048,0.4842,0.2266,0.1928,0.8313,0.506,0.0241,0.9639,0.2048
Atlántico,0.1694,0.2885,0.1106,0.3214,0.1101,0.2027,0.2751,0.1852,0.1802,0.5773,0.8247,0.7873,0.207,0.9455,0.6157,0.5233,0.4642,0.7856,0.6332,0.3431,0.4384,0.7098,0.5239,0.3352,0.7223,0.3076,0.2496,0.5428,0.4483,0.2797,0.1,0.0745,0.3745,0.0196,0.8882,0.302
Bolívar,0.1687,0.3323,0.1137,0.2605,0.1248,0.191,0.2759,0.2489,0.192,0.5699,0.7713,0.7537,0.1468,0.9595,0.5986,0.4499,0.4718,0.8107,0.6369,0.3463,0.4172,0.702,0.5048,0.3419,0.7498,0.2921,0.2571,0.4916,0.4959,0.2665,0.1556,0.1822,0.44,0.0444,0.9111,0.2933
Boyacá,0.1428,0.314,0.1123,0.3279,0.0999,0.3606,0.3892,0.2574,0.2287,0.6503,0.8128,0.7722,0.253,0.9421,0.6274,0.4921,0.5736,0.8085,0.6955,0.3742,0.4487,0.7406,0.5305,0.3968,0.8024,0.3462,0.2613,0.542,0.53,0.3209,0.1945,0.1033,0.3283,0.0213,0.8754,0.2584
Caldas,0.1545,0.3106,0.1153,0.3165,0.103,0.3159,0.3652,0.1722,0.1947,0.5785,0.737,0.7112,0.2255,0.9176,0.5574,0.4358,0.5126,0.8015,0.6261,0.3488,0.4303,0.7178,0.505,0.3588,0.7666,0.3346,0.278,0.534,0.4973,0.2714,0.214,0.0988,0.3292,0.0206,0.8148,0.2469
Caquetá,0.1654,0.2921,0.1059,0.2988,0.1377,0.5689,0.3999,0.4201,0.416,0.694,0.8329,0.8122,0.2999,0.9489,0.7445,0.5947,0.5164,0.9022,0.7848,0.4,0.5408,0.8105,0.6085,0.4408,0.7707,0.3604,0.3814,0.5952,0.7252,0.4391,0.4238,0.5019,0.5502,0.0595,0.9294,0.2268
Casanare,0.1615,0.3123,0.1388,0.2764,0.1111,0.3643,0.4109,0.343,0.2437,0.7014,0.7881,0.8024,0.2399,0.9505,0.6369,0.5511,0.5537,0.815,0.7059,0.4299,0.4923,0.769,0.5822,0.4261,0.7888,0.3829,0.2931,0.5648,0.5981,0.3427,0.2784,0.3093,0.3918,0.0103,0.8247,0.3093
Cauca,0.1767,0.3075,0.0928,0.3225,0.1004,0.3002,0.1403,0.2807,0.2524,0.6107,0.8077,0.8225,0.1734,0.9656,0.6508,0.5751,0.6083,0.8662,0.7835,0.3215,0.5671,0.8599,0.6005,0.3978,0.6583,0.3351,0.4266,0.6164,0.5394,0.3356,0.4113,0.7872,0.5248,0.0922,0.8014,0.2482
Cesar,0.171,0.2908,0.1465,0.2661,0.1256,0.307,0.2393,0.2935,0.2678,0.6184,0.7526,0.728,0.2426,0.9318,0.6712,0.5683,0.5317,0.8481,0.6824,0.4505,0.472,0.7382,0.5563,0.4193,0.768,0.3616,0.2716,0.583,0.5727,0.36,0.17,0.2421,0.5101,0.0372,0.9099,0.2793
Chocó,0.1459,0.3023,0.1071,0.3121,0.1326,0.3855,0.1821,0.3296,0.2249,0.5726,0.7809,0.7537,0.185,0.9464,0.6564,0.5714,0.4383,0.8397,0.6936,0.3727,0.5605,0.7702,0.5614,0.3485,0.7023,0.3368,0.2803,0.6087,0.5457,0.261,0.9802,0.2574,0.6436,0.0495,0.8317,0.2772
Cundinamarca,0.1422,0.3068,0.1129,0.3373,0.1009,0.2642,0.2135,0.1845,0.1549,0.5637,0.7338,0.7029,0.2345,0.9353,0.5603,0.4883,0.4639,0.7525,0.6413,0.3654,0.4466,0.682,0.5113,0.3448,0.7651,0.3058,0.2656,0.5311,0.4202,0.2541,0.1565,0.1374,0.4427,0.042,0.9046,0.2863
