id,max26
396,0.006226
917,0.013356
448,0.042269
509,0.060861
806,0.085823
88,0.09527
972,0.106121
164,0.111878
76,0.124155
517,0.138408
47,0.144426
542,0.147831
927,0.223122
52,0.238087
1368,0.252234
1646,0.261072
467,0.286867
402,0.292989
1440,0.337716
216,0.359275
780,0.368376
737,0.369126
150,0.373305
303,0.388568
1564,0.405591
540,0.437604
1302,0.46765
379,0.482003
788,0.490505
973,0.494811
639,0.501317
853,0.505121
984,0.537768
755,0.542863
1644,0.545792
910,0.554554
323,0.614159
370,0.652244
576,0.671676
592,0.675102
338,0.687924
300,0.690391
1167,0.70336
1258,0.72681
844,0.746774
587,0.754286
1182,0.778867
471,0.797035
1560,0.803824
124,0.827364
1177,0.829381
702,0.841337
198,0.870287
140,0.871875
0,0.903777
1140,0.922492
1257,0.954902
1449,0.968274
864,0.982381
675,0.989713
