id,lugar,titulo,etiqueta (social / no_social / dudoso)
853,Maicao,Balance de orden público: este es el resultado de la operación militar contra el ‘clan del Golfo’ en Antioquia,
780,Maicao,LGH celebra 13 años en honor de una audiencia que impulsa a ser mejores,
675,Maicao,Se reabre frontera y se normaliza paso por Paraguachón en La Guajira,
402,Maicao,“Maicao tejiendo destino” nueva estrategia de la alcaldía para proyectar la ciudad,
47,Maicao,Procuraduría solicita negar suspensión de elección de De la Espriella,
844,Maicao,Capturan en Maicao a hombre señalado de agredir a otro con un bate durante una riña,
1644,Antioquia,"La cultura en Medellín tiene agenda 2023, pero pide más respaldo",
1646,Antioquia,37 mujeres fueron asesinadas en Antioquia en los primeros seis meses del año,
737,Maicao,Orgullo guajiro: primera mujer wayuu asciende como oficial de la Fuerza Aeroespacial Colombiana,
639,Maicao,El polémico regreso de los capos de ‘Los Costeños’ y ‘Los Pepes’ a Barranquilla para iniciar mesas de diálogo,
370,Maicao,Policía Nacional refuerza la prevención del secuestro y la extorsión en Maicao,
587,Maicao,Ministerio de Salud y Asociación Colombiana de Sociedades Científicas se enfrentan por cumplimiento de tutela sobre Equipos Básicos de Salud,
927,Maicao,Policía desarticula a ‘Los Maite’ y destapa nexos con ‘Tren de Aragua’,
52,Maicao,Joven estuvo de cumpleaños rodeada del cariño familiar,
379,Maicao,Esepgua rinde cuentas con avances y retos en La Guajira,
1440,Antioquia,"Confirman que la condena al alcalde de Bello, Óscar Andrés Pérez, es de 10 años de cárcel",
984,Maicao,Capturan en Maicao a joven con 75 gramos de base de coca,
917,Maicao,La Ruta de la Iguana de Ecopetrol arranca su viaje pedagógico en Uribia,
467,Maicao,Maicao se moviliza por joven desaparecido en playas de Puerto Colombia,
910,Maicao,Capturan en Albania a hombre con varias dosis de estupefacientes,
1258,Antioquia,¿Bloque antiPetro se unirá para responderles a Pérez y Bedoya en la carrera por la Gobernación?,
150,Maicao,Policía y entidades fortalecen acciones de prevención contra el trabajo infantil en La Guajira,
1140,Paraguachón,Operativos en La Guajira dejan seis capturados y recuperación de tres motocicletas hurtadas,
124,Maicao,"Temblor de magnitud 3,4 sacudió La Guajira y tiene en alerta a la ciudad fronteriza: el epicentro estuvo en Dibulla",
973,Maicao,Tecnología de punta llega a la Alta Guajira: Nazareth estrena su primer equipo de Biología Molecular,
702,Maicao,Capturan a persona señalada de portar un arma de fuego ilegal en la vía Riohacha–Maicao,
338,Maicao,Defensoría exige proteger la vida y el futuro de jóvenes en La Guajira,
323,Maicao,Operativos en Maicao dejan 13 capturados por graves delitos,
1177,Antioquia,Qué podrá conmovernos,
517,Maicao,Maicao siembra futuro: recupera maquinaria agrícola y devuelve esperanza al campo,
755,Maicao,Capturan a dos presuntos traficantes con más de cinco kilos de marihuana en Maicao,
448,Maicao,CorpoGuajira impulsa proyecto para recuperar y fortalecer áreas verdes urbanas en Maicao,
300,Maicao,Acuerdo indemnizatorio Wayuu tras accidente vial en La Guajira,
1564,Antioquia,Especial | La minería ilegal: riqueza que atrapa y condena al Bajo Cauca y al Nordeste antioqueño,
88,Maicao,CorpoGuajira monitorea temporada de huracanes del Atlántico,
1257,Antioquia,Defensor del Pueblo prende las alarmas a una semana de las elecciones regionales,
972,Maicao,Pavimentación en Maicao inicia en los barrios Esperanza y Fonseca Siosi,
542,Maicao,Escuelas que transforman territorios y dignidad educativa en La Guajira,
396,Maicao,Viabilidad ambiental abre paso a gas domiciliario en Maicao y Albania,
164,Maicao,Maicao impulsa oportunidades laborales para personas con discapacidad,
864,Maicao,Hombre fue asesinado a tiros en el barrio El Bosque de Maicao,
576,Maicao,Accidente en la vía Riohacha–Maicao deja personas heridas y saqueos por parte de la comunidad,
198,Maicao,Riohacha amaneció semiparalizada tras atentado al Batallón Cartagena: suspenden clases y restringen movilidad en la vía a Maicao,
1560,Antioquia,Con plantones rechazarán violencia en Bajo Cauca y Nordeste debido al paro minero,
1302,Antioquia,mauricio tobon candidato a la gobernacion de antioquia habla en entrevista sobre la campaña,
1167,Antioquia,Trenzar en vez de desgarrar,
1182,Antioquia,La jugada de Quintero a la Junta que originó el fallo del Tribunal contra EPM,
1449,Antioquia,Gobernador de Antioquia pide apoyo a Petro para fortalecer la atención y prevención de violencias contra las mujeres,
76,Maicao,Dos empresarios fueron asesinados a tiros en La Guajira,
140,Maicao,En La Guajira jornada presidencial fue para sectores progresistas,
1368,Antioquia,"Por violentar a menores en Antioquia, expulsaron al exparamilitar Hernán Giraldo de Justicia y Paz",
788,Maicao,Capturan a un hombre por porte de estupefacientes en Maicao,
592,Maicao,"Mujeres caficultoras de Huila, en el centro de nuevo programa contra el cáncer cervical en el que participan el CTIC, la Gobernación y otras entidades",
303,Maicao,Campesino y líder social busca impulsar cambios en Carraipía,
216,Maicao,Capturan en Maicao a docente señalado de abuso contra menor,
509,Maicao,"Alfredo Deluque Zuleta, liderazgo sólido y demostrado",
0,Maicao,Dos capturados en Riohacha por presunta estafa con paquetes turísticos falsos,
540,Maicao,"Montes de Oca, el desconocido e inexplorado destino en La Guajira donde un río cristalino forma piscinas naturales en medio de un inmenso bosque",
806,Maicao,Ecopetrol impulsa infraestructura educativa y comunitaria en varios municipios de La Guajira,
471,Maicao,Capturan a un hombre por presunto tráfico de estupefacientes en el barrio San Martín de Maicao,
