departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,nivel_acuerdo_proyecto,demanda_derechos,denuncia_violacion,propuesta_alternativa,llamado_dialogo,defensa_territorio,exigencia_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
Antioquia,0.16294757151608444,0.3363860383582343,0.3229889816776582,0.065309304877475,0.11236810300997488,0.47894759138608217,0.4470039192760648,0.4493443724902489,0.4021178862249781,0.7485493048625126,0.850771537204095,0.8228762724709691,0.7579446773305772,0.9232429888768264,0.5794623734364227,0.7586332494570951,0.6686359093247195,0.7560425549982839,0.8887012351517845,0.4259177955626777,0.5066152154712694,0.6812698376620081,0.27700872510908153,0.8701725651570863,0.5579869881621562,0.42283602533595055,0.25653363164376386,0.8959258670153417,0.7227819738119906,0.7783709969371557,0.10191082802547771,0.5222929936305732,0.3248407643312102,0.05732484076433121,0.643312101910828,0.3821656050955414
Arauca,0.1155484170936372,0.27669901384607604,0.36360291780337045,0.12140430716554755,0.12274533968783267,0.5536019252081725,0.3459386975686673,0.6726250102257599,0.3710481122581531,0.8629505297412043,0.9235521891842717,0.8671007389607637,0.7461661308517923,0.9784150512322135,0.7625092364361753,0.9055793395508891,0.7205179873853922,0.8193445004846739,0.9300164486403051,0.4578567873433475,0.6736828713556346,0.7324277285648428,0.4036145756064165,0.8646633365879888,0.5077504231088349,0.5923101533983793,0.28065422910731286,0.935970636813537,0.7200973153762196,0.7487361612527267,0.043478260869565216,0.9565217391304348,0.21739130434782608,0.08695652173913043,0.43478260869565216,0.21739130434782608
Caldas,0.2515805417841131,0.32470459829677234,0.29196385971524497,0.07695937286850742,0.05479159875010902,0.20932950256709856,0.15645838329378006,0.250450332141058,0.11025709729239513,0.7481051222844557,0.9058714644475416,0.87248034639792,0.3442202680426734,0.9781484603881836,0.25734704529697244,0.7979095686565746,0.6955328394066204,0.6324498179284009,0.6323486214334314,0.23181480237028815,0.1724602398885922,0.6241537989540533,0.19868196015754205,0.8165174092758786,0.12747847834940662,0.08788685803301632,0.2919609960412014,0.8017759119922464,0.6130968887697567,0.5446284616535361,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.0,0.5454545454545454,0.18181818181818182
Caquetá,0.17201854102313519,0.12538120336830616,0.4519259184598923,0.12771198945119977,0.12296237517148256,0.5728516802191734,0.46972633339464664,0.4186948826536536,0.2209848710190272,0.7491171658039093,0.9419825524091721,0.9329550862312317,0.5140228774398565,0.9679337441921234,0.5652339942753315,0.9078085422515869,0.6439814455807209,0.7812845334410667,0.9824879169464111,0.3401644453406334,0.4334621801972389,0.7805673629045486,0.13853489374741912,0.9605370759963989,0.3258647139009554,0.08575606904923916,0.30091704800724983,0.9771391898393631,0.6991156525909901,0.8318860828876495,0.5,0.25,0.5,0.0,0.75,0.25
Cesar,0.1526240004847447,0.37556329369544983,0.30578306193153065,0.06328639551065862,0.10274324659258127,0.23222896608058363,0.2013242591638118,0.27494378310317796,0.3053781546186656,0.612038548104465,0.5861890139058232,0.695688713962833,0.5820910017937422,0.8212127648293972,0.5299078332609497,0.7607214021166632,0.639711473408776,0.6057645712668697,0.7016998045146465,0.34618267447998124,0.4879812161670998,0.552096538245678,0.3180928387543342,0.6728505313706895,0.4714426186789448,0.35913324387123186,0.06626815230508025,0.7786590050285062,0.6427640753487746,0.7347616913417975,0.25,0.16666666666666666,0.3333333333333333,0.0,0.4166666666666667,0.08333333333333333
Chocó,0.15669647614934787,0.3263125131205521,0.3172527878850685,0.08422363817008252,0.11551458273791008,0.5891180058736247,0.4955219811185698,0.503148444412453,0.46711921914196436,0.7695295863408005,0.8439538314421421,0.8251786872075535,0.7202918065492722,0.9400469037959827,0.652279913104214,0.8036855171291811,0.6518159622282708,0.7778542279083208,0.9237978962348,0.46766845084462855,0.6161803557266068,0.7561173170963518,0.28224623314531,0.8399893979047244,0.5863147983045289,0.45120045131932757,0.26878756388377334,0.9270544622484396,0.7744774473445082,0.7566112367828076,0.29411764705882354,0.6880570409982175,0.3404634581105169,0.040998217468805706,0.43315508021390375,0.1836007130124777
Cundinamarca,0.07005244253668934,0.15319687004666777,0.38951878771185877,0.30292091192677617,0.08431098940782249,0.3258070841198787,0.3897973857820034,0.3294955966877751,0.20751641537208343,0.5460106872022152,0.5722663193941117,0.7103176295757294,0.7634320497512818,0.8369756639003754,0.27860108511522413,0.5322871945798398,0.7564387174556032,0.515171229839325,0.847908890247345,0.20716696218587458,0.31549502578563987,0.5525687441229821,0.014771416783332825,0.6977711825165898,0.2913938031066209,0.5023823991417885,0.22971716579049825,0.9902851343154907,0.596618577837944,0.32714416906237603,0.2,0.2,0.0,0.0,0.2,0.4
Córdoba,0.16299448072699443,0.30647935143689503,0.38145066488463925,0.047694922436384554,0.10138057112992513,0.5827099288114179,0.5634411879582331,0.4765955065157405,0.5094126948311415,0.771710979945536,0.8502783935587361,0.8404216187883098,0.7668917042396541,0.9403710118582789,0.6678821331039423,0.7615256814532122,0.6388272170602335,0.8038911298532391,0.9164766466842508,0.4615515525241927,0.5680736606624329,0.7702789162593138,0.20877094819091857,0.8923861801905452,0.6059491191968709,0.47624911958646066,0.3042367309587788,0.9393392426866757,0.8383724378259361,0.877649533749066,0.07547169811320754,0.6981132075471698,0.24528301886792453,0.02830188679245283,0.29245283018867924,0.29245283018867924
Guaviare,0.15347716159054212,0.35436482301780153,0.26948574451463564,0.098506513583873,0.12416575396699565,0.4593499785821353,0.4039918351918459,0.3811905501144273,0.17936622630804777,0.5124828687735966,0.8000622689723969,0.9064369116510663,0.39000165089964867,0.9608500344412667,0.5137750783136913,0.7438905111380986,0.6089343114623001,0.7517408430576324,0.8614440219742912,0.4073761813342571,0.4215788702879633,0.8422033361026219,0.212196858599782,0.8827771970203945,0.15306977874466351,0.10886714540954147,0.4165235132511173,0.9766915696007865,0.632603291954313,0.5673390690769468,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.2857142857142857
Huila,0.30377523973584175,0.43332499265670776,0.1771633978933096,0.02989458607044071,0.05584172811359167,0.3997577407862991,0.5048591811209917,0.5123044960200787,0.4473685543052852,0.6872331770136952,0.8397471681237221,0.9315706193447113,0.6055336147546768,0.7870291844010353,0.5565528781153262,0.7343679673504084,0.48929000552743673,0.9638364613056183,0.7615938261151314,0.23250735364854336,0.4700529342517257,0.7570796459913254,0.2768127884482965,0.7037056609988213,0.1463754391297698,0.2405446642660536,0.6446383194997907,0.7402483373880386,0.6514492556452751,0.8764838874340057,0.25,0.75,0.75,0.0,0.5,0.25
