departamento,n_articulos,bloque_A,bloque_B,bloque_C,bloque_D,bloque_E,corrupcion_score,vulneracion_score,radar_propio,categoria_riesgo
Córdoba,106.0,73.93461685030566,100.0,56.233785924859106,80.64270404749482,25.210144439255565,100.0,64.0619695301935,100.0,alto
Magdalena,4.0,61.14604219845452,54.07983876183589,14.968851235570979,69.51285219546821,72.79031785124945,66.24564615975747,100.0,92.22257837651705,alto
Chocó,561.0,59.10312782693884,90.29189004481967,48.097529232944126,84.04179547863416,22.81413537947627,88.68788692992531,65.050954079105,91.54205213705303,alto
La Guajira,7.0,100.0,43.953646166061134,34.548925392799184,100.0,36.92316231001939,68.71384439150712,94.6956055887966,91.3745718362916,alto
Vichada,84.0,64.88197420309457,82.48264073672163,52.94352896003514,85.3355794365728,19.53748066052931,83.91546730215165,63.09595157769854,86.71811252151943,alto
Huila,4.0,41.57518610651092,85.00236935742508,0.0,61.0147712759948,36.11860716335581,85.65023441858196,55.465047285530055,84.05634123825169,alto
Antioquia,157.0,75.28899440012343,81.37201363033306,53.74888296977339,59.76581096579292,24.8547171502817,86.45328251322012,43.1280588328437,78.16383818420948,medio
Cundinamarca,5.0,92.78717397854251,37.77455770998564,91.14839167074756,31.053883561523556,100.0,53.33393536142482,88.90881662584566,76.10044730778424,medio
Arauca,23.0,68.62347493024275,87.96912576094458,62.14435958262232,77.01272927957142,0.0,88.07769525873591,35.62718381464657,75.48327517580042,medio
Vaupés,92.0,62.42274585664321,66.30039100775771,51.587655667624865,62.31364982103362,37.0484716757836,70.8048401853675,57.6624664708953,73.43272694601961,medio
Caquetá,4.0,14.628075436604721,67.62016970675191,100.0,96.46145243286392,17.935196120961912,48.701041266953276,72.48569074849178,63.72915886094579,medio
Guaviare,7.0,14.707014533591769,49.2088397262432,36.5925610283589,96.75252399877985,24.369882646465943,43.698644804515126,79.11692166436565,63.267407693782744,medio
Norte de Santander,37.0,48.20805323197183,71.2681833368352,63.778009023006454,60.22643127045928,22.85937566476511,68.07782335813002,41.61490739275794,62.773430703400265,medio
Cesar,12.0,35.77080193750374,62.32654311286765,47.250063407028826,10.668296475760608,77.47235068379823,59.37750633738362,46.59870435880858,58.50365433554787,medio
Valle del Cauca,206.0,56.695160064747796,73.63767673607994,51.322737903931724,42.927204106441565,20.56643644197068,74.5683684698469,22.298099133044868,57.70211332277817,medio
Risaralda,2.0,33.76233467367903,49.91509405871943,74.89233804556311,29.90521448632545,71.76869842582224,45.13411793209972,59.94176681087446,54.25751612542402,bajo
Meta,74.0,39.766602367670394,40.60653214316151,50.67798830303932,33.66749688505704,35.445157568459265,43.48294355002718,27.838140600159917,35.953759336364676,bajo
Quindío,30.0,52.77526488723494,34.017107079524074,34.387939254042585,18.763576008981104,29.20754278452679,45.145486657919484,6.993738679647333,26.24060376914144,bajo
Santander,100.0,51.18589333823671,41.43560009030537,47.61527636232186,0.0,40.877685445965334,48.41700081701701,0.0,25.13621498012273,bajo
Caldas,11.0,0.0,37.89756734529918,54.628568734582,25.50520150248909,24.202242235586372,27.408727356958945,8.705660443099951,13.064366534482238,bajo
Tolima,5.0,22.279244721445995,0.0,94.08231300391532,11.504087949936817,54.86880604074113,0.0,25.136886104188743,0.0,bajo
